#bPlast TAM ID |bPlast TAM Chan | bPlast Det| bPlast Ch
0	0	1	60
0	1	1	61
0	2	1	62
0	3	1	63
0	4	1	0
0	5	1	1
0	6	1	2
0	7	1	3
0	8	1	4
0	9	1	5
0	10	1	6
0	11	1	7
0	12	1	8
0	13	1	9
0	14	1	10
0	15	1	11
1	0	1	12
1	1	1	13
1	2	1	14
1	3	1	15
1	4	1	16
1	5	1	17
1	6	1	18
1	7	1	19
1	8	1	20
1	9	1	21
1	10	1	22
1	11	1	23
1	12	1	24
1	13	1	25
1	14	1	26
1	15	1	27
2	0	1	28
2	1	1	29
2	2	1	30
2	3	1	31
2	4	1	32
2	5	1	33
2	6	1	34
2	7	1	35
2	8	1	36
2	9	1	37
2	10	1	38
2	11	1	39
2	12	1	40
2	13	1	41
2	14	1	42
2	15	1	43
3	0	1	44
3	1	1	45
3	2	1	46
3	3	1	47
3	4	1	48
3	5	1	49
3	6	1	50
3	7	1	51
3	8	1	52
3	9	1	53
3	10	1	54
3	11	1	55
3	12	1	56
3	13	1	57
3	14	1	58
3	15	1	59
#Downstream
4	0	2	60
4	1	2	61
4	2	2	62
4	3	2	63
4	4	2	0
4	5	2	1
4	6	2	2
4	7	2	3
4	8	2	4
4	9	2	5
4	10	2	6
4	11	2	7
4	12	2	8
4	13	2	9
4	14	2	10
4	15	2	11
5	0	2	12
5	1	2	13
5	2	2	14
5	3	2	15
5	4	2	16
5	5	2	17
5	6	2	18
5	7	2	19
5	8	2	20
5	9	2	21
5	10	2	22
5	11	2	23
5	12	2	24
5	13	2	25
5	14	2	26
5	15	2	27
6	0	2	28
6	1	2	29
6	2	2	30
6	3	2	31
6	4	2	32
6	5	2	33
6	6	2	34
6	7	2	35
6	8	2	36
6	9	2	37
6	10	2	38
6	11	2	39
6	12	2	40
6	13	2	41
6	14	2	42
6	15	2	43
7	0	2	44
7	1	2	45
7	2	2	46
7	3	2	47
7	4	2	48
7	5	2	49
7	6	2	50
7	7	2	51
7	8	2	52
7	9	2	53
7	10	2	54
7	11	2	55
7	12	2	56
7	13	2	57
7	14	2	58
7	15	2	59
8	0	3	0
8	1	3	1
8	2	3	2
8	3	3	3
8	4	3	4
8	5	3	5
8	6	3	6
8	7	3	7
8	8	3	8
8	9	3	9
8	10	3	10
8	11	3	11
8	12	3	12
8	13	3	13
8	14	3	14
8	15	3	15
